effective_date,name,old_ticker,new_ticker,reason
1/6/2011,Sirius Resources NL,SIRDA AU,SIR AU,Deferred Delivery
1/7/2011,Spark Infrastructure Group,SKIDA AU,SKI AU,Deferred Delivery
1/7/2011,Pathfinder Resources Ltd,SVG AU,WFE AU,Name Change
1/10/2011,African Iron Ltd,SMZDA AU,SMZ AU,Deferred Delivery
1/11/2011,Wildcat Resources Ltd,AAQDA AU,AAQ AU,Deferred Delivery
1/12/2011,Astro Japan Property Group,AJA AU,AJADC AU,Reverse Stock Split
1/12/2011,Suncorp Group Ltd,SUNDA AU,SUN AU,Deferred Delivery
1/13/2011,African Iron Ltd,SMZ AU,AKI AU,Name Change
1/13/2011,African Iron Ltd,SMZDB AU,AKIDB AU,Change of Exchange
1/17/2011,Galileo Japan Trust,GJT AU,GJTDA AU,Reverse Stock Split
1/18/2011,Norwood Systems Ltd,MRYDA AU,MRY AU,Deferred Delivery
1/20/2011,SenSen Networks Ltd,AGQ AU,OEG AU,Name Change
1/20/2011,Drillsearch Energy Pty Ltd,DLS AU,DLSDA AU,Reverse Stock Split
1/24/2011,Audio Pixels Holdings Ltd,GPB AU,AKP AU,Name Change
1/24/2011,BMG Resources Ltd,BZM AU,BMG AU,No Reason Supplied by Exchange
1/25/2011,IVS Holdings Ltd,FTD AU,FTDDA AU,Deferred Delivery
1/27/2011,Smart Parking Ltd,EEE AU,EEEDA AU,Reverse Stock Split
1/27/2011,Celsius Resources Ltd,VRE AU,VREDA AU,Deferred Delivery
1/27/2011,Astro Japan Property Group,AJADC AU,AJA AU,Deferred Delivery
2/1/2011,Galileo Japan Trust,GJTDA AU,GJT AU,Deferred Delivery
2/2/2011,CZR Resources Ltd,CZR AU,CZRDA AU,Deferred Delivery
2/2/2011,Ochre Group Holdings Ltd,ECE AU,ECEDA AU,Reverse Stock Split
2/4/2011,Drillsearch Energy Pty Ltd,DLSDA AU,DLS AU,Deferred Delivery
2/7/2011,Timah Resources Ltd,VEM AU,TMH AU,Name Change
2/9/2011,IVS Holdings Ltd,FTDDA AU,FTD AU,Deferred Delivery
2/10/2011,Celsius Resources Ltd,VREDA AU,VRE AU,Deferred Delivery
2/10/2011,Smart Parking Ltd,EEEDA AU,EEE AU,Deferred Delivery
2/10/2011,Inosite Ltd,IBL AU,IOS AU,Name Change
2/14/2011,Merlin Diamonds Ltd,NAD AU,NADDA AU,Reverse Stock Split
2/14/2011,Senex Energy Ltd,VPE AU,SXY AU,Name Change
2/16/2011,CZR Resources Ltd,CZRDA AU,CZR AU,Deferred Delivery
2/16/2011,Ochre Group Holdings Ltd,ECEDA AU,ECE AU,Deferred Delivery
2/16/2011,International Coal Holdings Pty Ltd,SRL AU,ICL AU,Name Change
2/17/2011,Smart Parking Ltd,EEE AU,CPZ AU,Name Change
2/18/2011,CSR Ltd,CSR AU,CSRDA AU,Reverse Stock Split
2/18/2011,Ochre Group Holdings Ltd,ECE AU,RRI AU,Name Change
2/23/2011,Cann Global Ltd,AGV AU,QBL AU,Name Change
2/24/2011,Cokal Ltd,AEA AU,CKA AU,Name Change
2/24/2011,Cokal Ltd,AEAO AU,CKAO AU,Change of Exchange
2/25/2011,Volt Resources Ltd,RTL AU,MOZ AU,Name Change
2/28/2011,Merlin Diamonds Ltd,NADDA AU,NAD AU,Deferred Delivery
3/1/2011,Navigator Global Investments Ltd,HFA AU,HFADA AU,Change of Exchange
3/1/2011,Argosy Minerals Ltd,AGY AU,AGYDA AU,Deferred Delivery
3/2/2011,KNeoMedia Ltd,ESN AU,ESNDA AU,Reverse Stock Split
3/2/2011,Agrimin Ltd,CLU AU,GRM AU,Name Change
3/3/2011,Bowen Coking Coal Ltd,RMC AU,CBS AU,Name Change
3/4/2011,CSR Ltd,CSRDA AU,CSR AU,Change of Exchange
3/10/2011,Sylvania Platinum Ltd,SLV AU,SLP AU,Internal Change
3/15/2011,Hastings Technology Metals Ltd,AUJ AU,HAS AU,Name Change
3/15/2011,Centuria Capital Ltd,OFG AU,CNI AU,Name Change
3/16/2011,Navigator Global Investments Ltd,HFADA AU,HFA AU,Deferred Delivery
3/16/2011,Argosy Minerals Ltd,AGYDA AU,AGY AU,Reclassification of Shares
3/16/2011,Xceed Resources Ltd,XCD AU,XCDDA AU,Deferred Delivery
3/17/2011,Everest Financial Group Ltd,EFG AU,EFGDA AU,Reverse Stock Split
